arrondissement,population,year,source
Anjou,37210,1991,StatCan 1991 Census profiles
Baie-d'Urfé,3849,1991,StatCan 1991 Census profiles
Beaconsfield,19616,1991,StatCan 1991 Census profiles
Côte-Saint-Luc,28700,1991,StatCan 1991 Census profiles
Dollard-des-Ormeaux,46922,1991,StatCan 1991 Census profiles
Dorval,17249,1991,StatCan 1991 Census profiles
Hampstead,8645,1991,StatCan 1991 Census profiles
Kirkland,17495,1991,StatCan 1991 Census profiles
LaSalle,73804,1991,StatCan 1991 Census profiles
Lachine,35266,1991,StatCan 1991 Census profiles
Mont-Royal,18212,1991,StatCan 1991 Census profiles
Montréal-Est,3767,1991,StatCan 1991 Census profiles
Montréal-Nord,85516,1991,StatCan 1991 Census profiles
Montréal-Ouest,5180,1991,StatCan 1991 Census profiles
Montréal,1017666,1991,StatCan 1991 Census profiles
Outremont,22935,1991,StatCan 1991 Census profiles
Pierrefonds,48735,1991,StatCan 1991 Census profiles
Pointe-Claire,27647,1991,StatCan 1991 Census profiles
Roxboro,5879,1991,StatCan 1991 Census profiles
Saint-Laurent,72402,1991,StatCan 1991 Census profiles
Saint-Léonard,73120,1991,StatCan 1991 Census profiles
Saint-Pierre,4967,1991,StatCan 1991 Census profiles
Saint-Raphaël-de-l'Île-Bizard,11352,1991,StatCan 1991 Census profiles
Sainte-Anne-de-Bellevue,4030,1991,StatCan 1991 Census profiles
Sainte-Geneviève,3197,1991,StatCan 1991 Census profiles
Senneville,961,1991,StatCan 1991 Census profiles
Verdun,61307,1991,StatCan 1991 Census profiles
Westmount,20239,1991,StatCan 1991 Census profiles
Anjou,37308,1996,StatCan 1996 Census profiles
Baie-d'Urfé,3774,1996,StatCan 1996 Census profiles
Beaconsfield,19414,1996,StatCan 1996 Census profiles
Côte-Saint-Luc,29705,1996,StatCan 1996 Census profiles
Dollard-des-Ormeaux,47826,1996,StatCan 1996 Census profiles
Dorval,17572,1996,StatCan 1996 Census profiles
Hampstead,6986,1996,StatCan 1996 Census profiles
Kirkland,18678,1996,StatCan 1996 Census profiles
L'Île-Bizard,13038,1996,StatCan 1996 Census profiles
LaSalle,72029,1996,StatCan 1996 Census profiles
Lachine,35171,1996,StatCan 1996 Census profiles
Mont-Royal,18282,1996,StatCan 1996 Census profiles
Montréal-Est,3523,1996,StatCan 1996 Census profiles
Montréal-Nord,81581,1996,StatCan 1996 Census profiles
Montréal-Ouest,5254,1996,StatCan 1996 Census profiles
Montréal,1016376,1996,StatCan 1996 Census profiles
Outremont,22571,1996,StatCan 1996 Census profiles
Pierrefonds,52986,1996,StatCan 1996 Census profiles
Pointe-Claire,28435,1996,StatCan 1996 Census profiles
Roxboro,5950,1996,StatCan 1996 Census profiles
Saint-Laurent,74240,1996,StatCan 1996 Census profiles
Saint-Léonard,71327,1996,StatCan 1996 Census profiles
Saint-Pierre,4739,1996,StatCan 1996 Census profiles
Sainte-Anne-de-Bellevue,4700,1996,StatCan 1996 Census profiles
Sainte-Geneviève,3339,1996,StatCan 1996 Census profiles
Senneville,906,1996,StatCan 1996 Census profiles
Verdun,59714,1996,StatCan 1996 Census profiles
Westmount,20420,1996,StatCan 1996 Census profiles
Anjou,38015,2001,StatCan 2001 Census profiles
Baie-d'Urfé,3813,2001,StatCan 2001 Census profiles
Beaconsfield,19310,2001,StatCan 2001 Census profiles
Côte-Saint-Luc,30244,2001,StatCan 2001 Census profiles
Dollard-des-Ormeaux,48206,2001,StatCan 2001 Census profiles
Dorval,17706,2001,StatCan 2001 Census profiles
Hampstead,6974,2001,StatCan 2001 Census profiles
Kirkland,20434,2001,StatCan 2001 Census profiles
L'Île-Bizard,13861,2001,StatCan 2001 Census profiles
LaSalle,73983,2001,StatCan 2001 Census profiles
Lachine,40222,2001,StatCan 2001 Census profiles
Mont-Royal,18682,2001,StatCan 2001 Census profiles
Montréal-Est,3547,2001,StatCan 2001 Census profiles
Montréal-Nord,83600,2001,StatCan 2001 Census profiles
Montréal-Ouest,5172,2001,StatCan 2001 Census profiles
Outremont,22933,2001,StatCan 2001 Census profiles
Pierrefonds,54963,2001,StatCan 2001 Census profiles
Pointe-Claire,29286,2001,StatCan 2001 Census profiles
Roxboro,5642,2001,StatCan 2001 Census profiles
Saint-Laurent,77391,2001,StatCan 2001 Census profiles
Saint-Léonard,69604,2001,StatCan 2001 Census profiles
Sainte-Anne-de-Bellevue,5062,2001,StatCan 2001 Census profiles
Sainte-Geneviève,3278,2001,StatCan 2001 Census profiles
Senneville,970,2001,StatCan 2001 Census profiles
Verdun,60564,2001,StatCan 2001 Census profiles
Westmount,19727,2001,StatCan 2001 Census profiles
Baie-D'Urfé,3902,2006,StatCan 2006 Census profiles
Beaconsfield,19194,2006,StatCan 2006 Census profiles
Côte-Saint-Luc,31395,2006,StatCan 2006 Census profiles
Dollard-Des Ormeaux,48930,2006,StatCan 2006 Census profiles
Dorval,18088,2006,StatCan 2006 Census profiles
Hampstead,6996,2006,StatCan 2006 Census profiles
Kirkland,20491,2006,StatCan 2006 Census profiles
Mont-Royal,18933,2006,StatCan 2006 Census profiles
Montréal-Est,3822,2006,StatCan 2006 Census profiles
Montréal-Ouest,5184,2006,StatCan 2006 Census profiles
Pointe-Claire,30161,2006,StatCan 2006 Census profiles
Sainte-Anne-de-Bellevue,5197,2006,StatCan 2006 Census profiles
Senneville,962,2006,StatCan 2006 Census profiles
Westmount,20494,2006,StatCan 2006 Census profiles
Ahuntsic-Cartierville,126607,2006,Ville de Montréal
Anjou,40891,2006,Ville de Montréal
Côte-des-Neiges-Notre-Dame-de-Grâce,164246,2006,Ville de Montréal
Lachine,41391,2006,Ville de Montréal
LaSalle,74763,2006,Ville de Montréal
Le Plateau-Mont-Royal,101054,2006,Ville de Montréal
Le Sud-Ouest,69860,2006,Ville de Montréal
L'Île-Bizard-Sainte-Geneviève,17590,2006,Ville de Montréal
Mercier-Hochelaga-Maisonneuve,129110,2006,Ville de Montréal
Montréal-Nord,83911,2006,Ville de Montréal
Outremont,22897,2006,Ville de Montréal
Pierrefonds-Roxboro,65041,2006,Ville de Montréal
Rivière-des-Prairies-Pointe-aux-Trembles,105372,2006,Ville de Montréal
Rosemont-La Petite-Patrie,133618,2006,Ville de Montréal
Saint-Laurent,84833,2006,Ville de Montréal
Saint-Léonard,71730,2006,Ville de Montréal
Verdun,66078,2006,Ville de Montréal
Ville-Marie,78876,2006,Ville de Montréal
Villeray-Saint-Michel-Parc-Extension,142825,2006,Ville de Montréal
L'Île-Dorval,NA,2006,Ville de Montréal
Baie-D'Urfé,3850,2011,StatCan 2011 Census profiles
Beaconsfield,19505,2011,StatCan 2011 Census profiles
Côte-Saint-Luc,32321,2011,StatCan 2011 Census profiles
Dollard-Des Ormeaux,49637,2011,StatCan 2011 Census profiles
Dorval,18208,2011,StatCan 2011 Census profiles
Hampstead,7153,2011,StatCan 2011 Census profiles
Kirkland,21253,2011,StatCan 2011 Census profiles
L'Île-Dorval,5,2011,StatCan 2011 Census profiles
Mont-Royal,19503,2011,StatCan 2011 Census profiles
Montréal-Est,3728,2011,StatCan 2011 Census profiles
Montréal-Ouest,5085,2011,StatCan 2011 Census profiles
Pointe-Claire,30790,2011,StatCan 2011 Census profiles
Sainte-Anne-de-Bellevue,5073,2011,StatCan 2011 Census profiles
Senneville,920,2011,StatCan 2011 Census profiles
Westmount,19931,2011,StatCan 2011 Census profiles
Ahuntsic-Cartierville,126891,2011,Ville de Montréal
Anjou,41928,2011,Ville de Montréal
Côte-des-Neiges-Notre-Dame-de-Grâce,165031,2011,Ville de Montréal
Lachine,41616,2011,Ville de Montréal
LaSalle,74276,2011,Ville de Montréal
Le Plateau-Mont-Royal,100390,2011,Ville de Montréal
Le Sud-Ouest,71546,2011,Ville de Montréal
L'Île-Bizard-Sainte-Geneviève,18097,2011,Ville de Montréal
Mercier-Hochelaga-Maisonneuve,131483,2011,Ville de Montréal
Montréal-Nord,83868,2011,Ville de Montréal
Outremont,23566,2011,Ville de Montréal
Pierrefonds-Roxboro,68410,2011,Ville de Montréal
Rivière-des-Prairies-Pointe-aux-Trembles,106437,2011,Ville de Montréal
Rosemont-La Petite-Patrie,134038,2011,Ville de Montréal
Saint-Laurent,93842,2011,Ville de Montréal
Saint-Léonard,75707,2011,Ville de Montréal
Verdun,66158,2011,Ville de Montréal
Ville-Marie,84013,2011,Ville de Montréal
Villeray-Saint-Michel-Parc-Extension,142222,2011,Ville de Montréal
